reporting_date,organization_id,organization_name,project_id,gigs_vertical,subscription_product_type,subscription_product_region,activated_subscriptions,active_subscriptions,daily_arr_usd,projected_eom_arr_usd
2025-07-22T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Local,UK,0,193,69480.0,
2025-07-22T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Business,Global Roaming,0,258,1861.8,
2025-07-22T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Business,EU,2,3192,1340822.88,
2025-07-22T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Local,US,0,325,250740.0,
2025-07-22T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Business,Rest of World,0,17,6412.44,
2025-07-22T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,km-c-us-prod,Fintech US,Local,US,0,9,4320.0,
2025-07-23T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Local,UK,0,193,69480.0,
2025-07-23T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Business,Global Roaming,0,258,1864.32,
2025-07-23T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Business,EU,1,3192,1342150.08,
2025-07-23T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Local,US,0,325,250740.0,
2025-07-23T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Business,Rest of World,0,17,6412.44,
2025-07-23T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,km-c-us-prod,Fintech US,Local,US,1,10,4800.0,
2025-07-24T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Local,UK,1,194,69840.0,
2025-07-24T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Business,Global Roaming,0,257,1866.84,
2025-07-24T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Business,EU,1,3193,1343096.16,
2025-07-24T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Local,US,0,325,250740.0,
2025-07-24T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Business,Rest of World,0,17,6412.44,
2025-07-24T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,km-c-us-prod,Fintech US,Local,US,0,10,4800.0,
2025-07-25T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Local,UK,0,194,69840.0,
2025-07-25T00:00:00,org_0UEwKGIB50KlYtlwWD6Tw4,Klarna,klarna-hr-production,Gigs for Work,Business,Global Roaming,0,257,1871.88,
